n_estimators,row_id,estimator,true,logit_No,logit_Yes,p_Yes
8,0,0,No,-0.000758936,-7.10864,0.000817962
8,1,0,No,-0.000514998,-7.46348,0.000573623
8,2,0,No,-0.0742485,-2.6364,0.0716144
8,3,0,Yes,-2.93322,-0.0546317,0.946778
8,4,0,No,-0.00684873,-4.97846,0.00688426
8,5,0,Yes,-2.41375,-0.0936735,0.910526
8,6,0,No,-0.349537,-1.22063,0.295027
8,7,0,No,-0.0798569,-2.5664,0.0768068
8,8,0,No,-1.18412,-0.365223,0.694001
8,9,0,No,-0.003259,-5.70987,0.00331289
8,10,0,No,-0.000444809,-7.59334,0.000503766
8,11,0,No,-0.00268157,-5.90082,0.00273703
8,12,0,No,-0.000626283,-7.28525,0.000685536
8,13,0,No,-0.0698901,-2.6947,0.0675588
8,14,0,Yes,-0.121619,-2.16654,0.114567
8,15,0,Yes,-1.39851,-0.283564,0.753051
8,16,0,No,-0.0012008,-6.67711,0.00125933
8,17,0,No,-0.000694397,-7.1907,0.000753517
8,18,0,Yes,-2.701,-0.0694346,0.932866
8,19,0,Yes,-2.68423,-0.0706533,0.93173
8,20,0,Yes,-1.99751,-0.145735,0.864336
8,21,0,Yes,-4.23913,-0.0144648,0.985581
8,22,0,Yes,-3.23732,-0.0399993,0.960733
8,23,0,Yes,-2.36016,-0.0990973,0.905601
8,24,0,Yes,-2.75094,-0.0659349,0.936136
8,25,0,Yes,-3.08712,-0.0466449,0.954369
8,26,0,No,-0.0780705,-2.58813,0.0751559
8,27,0,No,-0.0087952,-4.73119,0.00881545
8,28,0,No,-0.838437,-0.566209,0.56764
8,29,0,Yes,-0.965862,-0.478998,0.619367
8,30,0,Yes,-4.47486,-0.0113975,0.988609
8,31,0,Yes,-1.69519,-0.202735,0.816447
8,32,0,No,-0.489945,-0.948302,0.387376
8,33,0,Yes,-0.836476,-0.567706,0.566791
8,34,0,Yes,-0.28098,-1.40643,0.245001
8,35,0,No,-0.980183,-0.470298,0.624779
8,36,0,Yes,-3.25372,-0.0393346,0.961372
8,37,0,Yes,-4.40117,-0.0122786,0.987738
8,38,0,Yes,-1.27444,-0.327849,0.72043
8,39,0,No,-0.00363342,-5.60321,0.00368581
8,40,0,Yes,-2.93269,-0.0546609,0.94675
8,41,0,Yes,-2.33064,-0.102227,0.902772
8,42,0,No,-9.35837e-05,-8.78633,0.000152798
8,43,0,Yes,-3.39853,-0.0339327,0.96658
8,44,0,Yes,-4.57306,-0.0103202,0.989674
8,45,0,No,-0.333688,-1.25955,0.283764
8,46,0,No,-1.76174,-0.188365,0.828264
8,47,0,Yes,-3.40743,-0.0336261,0.966876
8,48,0,Yes,-3.87364,-0.0209416,0.979219
8,49,0,No,-0.00363108,-5.60367,0.00368408
8,50,0,No,-0.00330397,-5.69631,0.00335812
8,51,0,No,-0.0425183,-3.17759,0.0416836
8,52,0,No,-0.01201,-4.42306,0.0119968
8,53,0,No,-0.0236716,-3.75274,0.0234521
8,54,0,Yes,-4.28952,-0.013747,0.986289
8,55,0,Yes,-1.09595,-0.406709,0.665798
8,56,0,Yes,-1.77435,-0.185769,0.830417
